Sentence,Keyword,Label
BofA warns AI stock mania is nearing historic extremes - Seeking Alpha,AI bubble warning,2
"America’s biggest investor Michael Burry says: Plain and simple, AI stocks are an asset bubble as ... - The Times of India",AI bubble warning,0
"Posthaste: Worried about a market bubble? You ain't seen nothing yet, warns top BofA strategist - Financial Post",AI bubble warning,0
BofA’s Hartnett Warns Mega-IPOs Risk Bubble Like Roaring ‘20s - Bloomberg.com,AI bubble warning,0
Jamie Dimon sees 'exuberance' in markets. That's a loaded word when it comes to bubbles popping - Fortune,AI bubble warning,0
"Jeff Bezos dismisses AI bubble fears, defends investments - Yahoo Finance",AI bubble warning,0
Warning for AI Stock Bubble: SpaceX and OpenAI IPOs Could Shift Market Dynamics - GuruFocus,AI bubble warning,0
Michael Burry AI bubble warning: AI funding and debt - The Cryptonomist,AI bubble warning,0
The AI Trade Might Be Grossly Underestimated — and It Could Be Time To Rethink How We View the Mag 7 - 24/7 Wall St.,AI bubble warning,2
'Big Short' Michael Bury Turns Bullish On Ignored Fintech Stocks Amid AI Bubble Warning - NDTV Profit,AI bubble warning,1
AI Bubble Fears Grow as Big Tech Allegedly Pays Itself in Cloud Loop - BeInCrypto,AI bubble warning,0
"AI bubble warning signs? Microsoft, Uber face unexpected coding agent cost surge in 2026 - The News International",AI bubble warning,1
Jeff Bezos says AI bubble could still benefit society - MSN,AI bubble warning,0
"AI’s $8 Trillion Buildout Is Not A Bubble – It’s A Bottleneck - Micron Technology (NASDAQ:MU), NVIDIA (NA - Benzinga",AI bubble warning,0
"BofA raises red flag on SpaceX, OpenAI IPOs - thestreet.com",AI bubble warning,2
BofA’s Hartnett Warns Mega-IPOs Risk Bubble Like Roaring ‘20s - Yahoo Finance,AI bubble warning,0
BofA warns AI IPO wave could push tech to bubble levels - MSN,AI bubble warning,0
"Warren Buffett sits on a record $397B in cash while Michael Burry shorts AI for $1B, betting it's 1999 all over again - Yahoo Finance",AI bubble warning,1
Andrew Ross Sorkin warns market crash inevitable amid AI boom fears - MSN,AI bubble warning,0
"Warning signs are flashing: is a global shock coming with the AI boom? - Futura, le média qui explore le monde",AI bubble warning,0
Warren Buffett sits on $400 bn cash as Michael Burry warns of AI bubble. Is a massive market crash coming? - The Economic Times,AI bubble warning,0
Zoho's Vembu warns AI boom may be biggest tech bubble yet - MSN,AI bubble warning,0
Michael Burry just loaded up on these 5 'beaten-down' stocks - TradingView,AI bubble warning,1
"The Semiconductor Rally Is Going Strong, but History Suggests the Cycle Still Matters - 24/7 Wall St.",AI bubble warning,2
Bank CEOs’ AI Obsession Collides With Red Lines From Regulators - Bloomberg.com,AI bubble warning,2
BofA’s Hartnett warns of ‘biggest bubble since railroads’ in AI rally; implications for India and... - Moneycontrol.com,AI bubble warning,0
Could today’s AI-driven S&P 500 rally end like the 1929 crash or the dot-com bubble after CAPE hits 40? Wh - The Economic Times,AI bubble warning,0
"Bank of America's Hartnett: This is the biggest bubble since the railway bubble—but before selling off, wait for two things to happen. - 富途牛牛",AI bubble warning,0
"AI boom may be built on fake revenue, warning signs flash for big tech 'AI bubble' - 디지털투데이",AI bubble warning,0
Jeff Bezos Says 'Don't Worry' Even If AI Is Bubble; 'Good Ideas Will Pay For All Losers' - NDTV Profit,AI bubble warning,1
Korea Investment CEO Advises Diversification Amid Market Volatility - 조선일보,AI bubble warning,2
SpaceX IPO filing reveals $2.5B AI loss and Musk’s tight control - MSN,AI bubble warning,2
SpaceX IPO filing fuels $2T valuation debate and AI ambitions - MSN,AI bubble warning,2
Goldman Sachs gives harsh warning on market concentration - roundtable.io,AI bubble warning,0
Patience Over Panic: Jeremy Grantham’s investment mantra for modern investors - The Economic Times,AI bubble warning,2
Meet Michael Burry - top US investor who predicted 2008 crash; has a fresh warning! - MSN,AI bubble warning,0
‘Biggest bubble yet’: Zoho’s Sridhar Vembu flags AI investment frenzy - Firstpost,AI bubble warning,0
Zoho's Vembu Warns of an AI Investment Bubble Fueled by Cloud Loops - Siliconindia,AI bubble warning,0
"Is China's robotics bubble about to burst? The ""valley of death"" of robotics: China's radical plan for humanoid robots - Xpert.Digital - Konrad Wolfenstein",AI bubble warning,0
"Fed hawkish shift, AI bubble fears raise market risk stakes - MSN",AI bubble warning,0
"AI Mania Drives Bubble-Like Concentration in S&P 500, Analysts Warn - Revenue Beat Analysis - Newser",AI bubble warning,1
"Amazon Founder Jeff Bezos Downplays AI Bubble Fears, Says Massive Investment Fuels Long-Term Progress - Consensus Miss Rate - Newser",AI bubble warning,0
Jeff Bezos says 'don't worry' even if AI is bubble; 'good ideas will pay for all losers' - MSN,AI bubble warning,0
SpaceX and OpenAI IPO Plans Revive Wall Street Fears Over AI Bubble Risk - Analytics Insight,AI bubble warning,0
"SpaceX and OpenAI IPOs May Fuel Historic AI Market Bubble, BofA Warns - Meyka",AI bubble warning,0
‘Big Short’ Michael Burry draws alarming parallel between Dot-com bubble and AI boom - Finbold,AI bubble warning,0
"Michael Burry Bets Against AI Hype, Buys Undervalued Tech Stocks - Whalesbook",AI bubble warning,1
"Jeff Bezos Dismisses AI Bubble Fears, Says ‘Good Ideas Will Pay for the Losers’; Backs Zero Taxes for - LatestLY",AI bubble warning,0
BofA warns mega-tech IPOs could push market into bubble territory - MSN,AI bubble warning,0
What Pope Leo Warned About Artificial Intelligence - tippinsights,AI bubble warning,2
Jamie Dimon echoes Alan Greenspan with warning on AI market exuberance - mogazmasr.com,AI bubble warning,0
'Big Short' investor Michael Burry warns of similarities between AI boom and dot-com bubble - MSN,AI bubble warning,0
Nvidia Extends Lead as AI Drives Semiconductor Growth - Statista,AI semiconductor growth,1
Taiwan Semiconductor Manufacturing Company Stock (TSM) Opinions on AI-Driven Growth Prospects - Quiver Quantitative,AI semiconductor growth,1
Artificial Intelligence (AI) Semiconductors Market Set to Reach $136.79 Billion by 2030 - EIN News,AI semiconductor growth,2
Google Reveals Plan to Dominate AI: Copy Apple - 24/7 Wall St.,AI semiconductor growth,2
Broadcom rides on accelerating semiconductor revenues: What's ahead? - MSN,AI semiconductor growth,2
Taiwan Semiconductor's Growth Propels Taiwan Stock Market To Overtake India - Taiwan Semiconductor (NYSE - Benzinga,AI semiconductor growth,1
Semiconductor Capital Equipment Market Growth & Trends - SNS Insider,AI semiconductor growth,1
MU vs. AMD: Which AI Semiconductor Stock Is the Better Buy? - The Globe and Mail,AI semiconductor growth,2
SemiFive Signs 14.7 Billion Won AI Semiconductor Development Deal - thelec.net,AI semiconductor growth,2
Tower Semiconductor’s Silicon Photonics Deals Anchor Data Center And AI Growth - Yahoo Finance,AI semiconductor growth,1
Lam Research vs. Applied Materials: Which AI Chip Stock Has the Edge? - TradingView,AI semiconductor growth,2
"Meta, Broadcom and others to launch $125 million semiconductor research hub at UCLA - CNBC",AI semiconductor growth,2
Gotrade Daily: Can AI Software Stocks Pass Tonight's Test? - Gotrade,AI semiconductor growth,2
Semiconductor Equipment Stocks Powering the AI Chip Manufacturing Boom: Etching - 24/7 Wall St.,AI semiconductor growth,2
ADI vs. TXN: Which AI Semiconductor Stock is a Better Buy Right Now? - The Globe and Mail,AI semiconductor growth,2
"GlobalFoundries Eyes AI, Data Center Growth as It Targets 40% Margins - TradingView",AI semiconductor growth,1
The Fastest-Growing ETF in History Is Riding the Supercharged AI Memory Boom - 24/7 Wall St.,AI semiconductor growth,1
TSMC stock rises to $412 in premarket trading as AI demand boosts semiconductor outlook - eciks.org,AI semiconductor growth,2
"Nikkei Breaks 65,000 Record as AI, Semiconductor Stocks Surge - 조선일보",AI semiconductor growth,1
AI servers drive order growth; Weltrend's fan motor driver IC visibility strong - digitimes,AI semiconductor growth,1
"AVGO stock poised for gains ahead of Q2 earnings June 3, AI revenue projected at $10.7B - eciks.org",AI semiconductor growth,1
"NVIDIA Corporation | History, GPUs, & Artificial Intelligence - Britannica",AI semiconductor growth,2
Camtek’s SWOT analysis: stock faces valuation debate amid AI growth - Investing.com,AI semiconductor growth,1
"Applied Materials Highlights AI-Driven Chip Demand, 30% Systems Growth at JPMorgan Event - TradingView",AI semiconductor growth,1
Nvidia stock price climbs to $214-$218 range as AI demand drives growth - eciks.org,AI semiconductor growth,1
Ultra Clean Surges 322% in a Year: Should You Bet on the Stock? - TradingView,AI semiconductor growth,1
Key advantages underpin growth of Malaysia’s semiconductor industry - Vietnam+ (VietnamPlus),AI semiconductor growth,1
CAMT Rides on Holistic Growth Focus: Should You Bet on the Stock? - TradingView,AI semiconductor growth,1
Nvidia delivers record revenue but stock falls on AI growth concerns - TradingView,AI semiconductor growth,1
"Due to the artificial intelligence (AI) investment craze, the global semiconductor market is expecte.. - 매일경제",AI semiconductor growth,2
"Gradiant Announces Series E Financing At $2Bn Valuation To Accelerate Expansion In Ai, Semiconductors... - megaproject.com",AI semiconductor growth,2
"MU stock surges on AI memory demand, analyst predicts $1,500 price target - eciks.org",AI semiconductor growth,1
AI Factory Partnership With Rebellions Sends Credo's Shares Up 8% - TradingView,AI semiconductor growth,1
Standard Chartered raises Taiwan 2026 GDP growth forecast to 9.5% - Taipei Times,AI semiconductor growth,1
"KEYS Q2 Earnings Beat on Communications, Industrial Segment Growth - TradingView",AI semiconductor growth,1
Samsung Q2 Profit Soars as AI Memory Demand Powers Growth - Asia Business Outlook,AI semiconductor growth,1
Electricity grid may become constraint for India's AI ambitions: American Chamber of Commerce report - Indiatimes,AI semiconductor growth,2
Think tank revises up Korea's 2026 growth outlook to 2.5% on robust exports - The Korea Times,AI semiconductor growth,1
"AI, data centres and semiconductors will define India’s next growth phase: Amitabh Kant - CNBC TV18",AI semiconductor growth,1
Beyond blue chips: 3 Singapore tech stocks riding the AI boom. What should investors watch? - Beansprout,AI semiconductor growth,2
Advanced Micro Devices stock (US0079031078): AI chip growth story under the spotlight - AD HOC NEWS,AI semiconductor growth,1
"Singapore is riding the global AI investment boom but there are risks, says MTI - The Straits Times",AI semiconductor growth,0
"Nvidia Stock: AI Boom, Semiconductor Leadership, and Long-Term Market Outlook - vocal.media",AI semiconductor growth,2
"AMDSW Stock: Market Overview, Trends, and Future Growth Outlook - vocal.media",AI semiconductor growth,1
Top Canadian Semiconductor Stocks for 2026 - Stocktrades,AI semiconductor growth,2
Segment Evaluation and Major Growth Areas in the Artificial Intelligence (AI) Semiconductors Market - openPR.com,AI semiconductor growth,1
AMD Stock Surges to $467 as Nvidia CEO Jensen Huang Signals Massive AI Demand Boost for Chipmaker - Meyka,AI semiconductor growth,1
Jim Cramer Advises Holding Astera Labs Shares Amid AI Infrastructure Growth - Estimate Dispersion - Newser,AI semiconductor growth,1
Samsung Union Moves to Block Pay Vote Over AI Chip Bonus Dispute - Meyka,AI semiconductor growth,2
TSM Stock News: Taiwan Semiconductor Hits $404.52 Amid 0.65% Drop as Pre-Market Gains Signal Recovery at $412.17 - Meyka,AI semiconductor growth,1
IT Stock Jumps After $30 Mil Deal With Edelweiss for AI Semiconductor Business Expansion - Trade Brains,AI semiconductor growth,2
Analog Devices Drives Semiconductor Growth with 84 Percent Stock Rally - HarianBasis.co,AI semiconductor growth,1
Intel Stock Surges as Company Positions for AI-Driven Growth - HarianBasis.co,AI semiconductor growth,1
"SpaceX's IPO, Nvidia earnings, Bezos on the AI bubble and more in Morning Squawk - CNBC",Nvidia stock bubble,0
"'Big Short' Michael Burry warns Nvidia stock could dive, AI 'tokenmaxxing' won't last - Business Insider",Nvidia stock bubble,2
"Chip giant Nvidia beats revenue expectations, defying AI bubble fears - ABC News - Breaking News, Latest News and Videos",Nvidia stock bubble,1
These 4 market sectors look frothy — and Nvidia’s isn’t even the biggest bubble - MSN,Nvidia stock bubble,0
Is It Too Late to Buy Nvidia Stock? Here's What the Numbers Say. - The Motley Fool,Nvidia stock bubble,2
These 4 Market Sectors Look Frothy - and Nvidia's Isn't Even the Biggest Bubble - Moomoo,Nvidia stock bubble,0
Nvidia Earnings Are Set to Make or Break the Chip Stock Rally - Yahoo Finance,Nvidia stock bubble,2
"Michael Burry doubles down on stock market, AI message for 2026 - thestreet.com",Nvidia stock bubble,0
Market Talk: Nvidia's competitors are in ‘bubble territory’ - Reuters,Nvidia stock bubble,0
"Is AI A Bubble? Nvidia, Micron Still Look Cheap Despite Rally - iShares PHLX SOX Semiconductor Sector Ind - Benzinga",Nvidia stock bubble,0
‘The Big Short’ says a stock market crash is near - twelfthmagpie.com,Nvidia stock bubble,0
Lessons from GenXers on Stock Bubbles and Manias - The Globe and Mail,Nvidia stock bubble,0
Equities In Bubble Territory: 6 Hard-To-Ignore Signs - Seeking Alpha,Nvidia stock bubble,0
SpaceX IPO: Why It Could Burst the AI Bubble - The Motley Fool,Nvidia stock bubble,0
History Suggests the Market Could Crash in 2026: Here's How You Can Protect Your Portfolio Right Now - Yahoo Finance,Nvidia stock bubble,0
"Zacks Market Edge Highlights: MSFT, GOOGL and NVDA - The Globe and Mail",Nvidia stock bubble,2
"Mega-IPOs could signal market top, say analysts as SpaceX and OpenAI prep record floats - CNBC",Nvidia stock bubble,2
"Nvidia Triggering Dot-Com Crash 2.0? Kevin Gordon Says Stop 'Cherry-Picking' Data, Tech Isn't 'Euphoric' - Yahoo Finance",Nvidia stock bubble,1
KeyBanc raises Nvidia stock price target before earnings - MSN,Nvidia stock bubble,2
NVIDIA Could 10X Sales If It Weren’t for This One Bottleneck - 24/7 Wall St.,Nvidia stock bubble,2
AI boom drives S&P 500 to record concentration risk - MSN,Nvidia stock bubble,0
"Nvidia Triggering Dot-Com Crash 2.0? Kevin Gordon Says Stop 'Cherry-Picking' Data, Tech Isn't 'Euphoric' - Benzinga",Nvidia stock bubble,1
"Chip giant Nvidia beats revenue expectations, defying AI bubble fears - AOL.com",Nvidia stock bubble,1
AI mania is fueling bubble-like concentration in the S&P 500 - MSN,Nvidia stock bubble,0
Nvidia Earnings Quell AI Bubble Fears; Korean Chip Stocks Eye Rally - Seoul Economic Daily,Nvidia stock bubble,0
Has NVIDIA and other AI stocks caused the Nasdaq to become overvalued? (Hint: not even close!) - Market Index,Nvidia stock bubble,0
Morgan Stanley Portfolio Manager: ‘I Don’t Think We’re Close’ to a Dot-Com Bubble - 24/7 Wall St.,Nvidia stock bubble,0
"TSMC's supply limits prevent an AI chip bubble, balancing NVIDIA's growth and market stability. - Pluang",Nvidia stock bubble,1
"Asian stock markets gain on US-Iran deal hopes, strong Nvidia’s guidance - FXStreet",Nvidia stock bubble,1
"FEMO Stock Market Rally 2026: Why Earnings Drive the S&P 500 Above 7,500 - Intellectia AI",Nvidia stock bubble,2
Nvidia has become the defining stock of the AI boom - what will its quarterly results show? - This is Money,Nvidia stock bubble,2
NVIDIA shares swing as investors digest record-breaking results - ITWeb,Nvidia stock bubble,2
Wall Street’s top chartist warns US tech stocks now at highest concentration since the 2000 bubble - MSN,Nvidia stock bubble,0
S&P 500 rally hides bubble risks with tech stocks dominating and profit margins peaking amid rising costs. - Pluang,Nvidia stock bubble,1
Paul Tudor Jones warns Trump-era market boom could end in a 35% crash. Here’s why he’s still buying stocks - MSN,Nvidia stock bubble,0
Trading expert sets date when Nvidia stock will crash to $160 - Finbold,Nvidia stock bubble,0
Nvidia Stock: 3 Risks Than Can Slow Down Its AI Momentum - Watcher Guru,Nvidia stock bubble,0
"Nvidia's Q1 EPS Surges 140% on Data Centre Revenue Blowout, Allaying AI Bubble Fears - International Business Times UK",Nvidia stock bubble,1
"SpaceX IPO Speculation, Nvidia Earnings, Bezos Cautions on AI Bubble: Key Market Takeaways - Earnings Deceleration Risk - Newser",Nvidia stock bubble,0
AI stock rally faces valuation fears and bubble warnings - MSN,Nvidia stock bubble,0
Here’s why Microsoft might pop the ‘AI bubble’ on June 1 - Finbold,Nvidia stock bubble,0
"Morning Squawk: SpaceX IPO Buzz, Nvidia Earnings in Focus, Bezos Weighs In on AI Bubble - Earnings Risk Report - Newser",Nvidia stock bubble,0
S&P 500 valuations hit highest level since dot-com bubble - MSN,Nvidia stock bubble,0
"Nvidia Triggering Dot-Com Crash 2.0? Kevin Gordon Says Stop 'Cherry-Picking' Data, Tech Isn't 'Euphoric' - Dailyhunt",Nvidia stock bubble,1
